Block,Trial,image_code,space_pressed,correct_incorrect,reaction_time
3, 0, 15, 1, 1, 0.432
3, 1, 36, 0, 0, 0.000
3, 2, 26, 1, 1, 0.475
3, 3, 21, 0, 0, 0.000
3, 4, 35, 1, 0, 0.571
3, 5, 18, 0, 0, 0.000
3, 6, 37, 0, 0, 0.000
3, 7, 20, 1, 1, 0.431
3, 8, 29, 1, 1, 0.763
3, 9, 27, 0, 0, 0.000
3, 10, 47, 1, 0, 0.813
3, 11, 46, 0, 0, 0.000
3, 12, 52, 0, 0, 0.000
3, 13, 22, 1, 1, 0.841
3, 14, 13, 1, 1, 0.934
3, 15, 17, 1, 1, 0.567
3, 16, 39, 0, 0, 0.000
3, 17, 14, 0, 0, 0.000
3, 18, 49, 1, 0, 0.800
3, 19, 44, 0, 0, 0.000
3, 20, 32, 0, 0, 0.000
3, 21, 45, 0, 0, 0.000
3, 22, 50, 1, 0, 0.566
3, 23, 31, 0, 0, 0.000
3, 24, 24, 1, 1, 0.587
3, 25, 33, 0, 0, 0.587
3, 26, 43, 0, 0, 0.000
3, 27, 25, 1, 1, 0.493
3, 28, 34, 1, 0, 0.557
3, 29, 41, 1, 0, 0.518
3, 30, 40, 0, 0, 0.000
3, 31, 28, 0, 0, 0.000
3, 32, 38, 0, 0, 0.000
3, 33, 16, 1, 1, 0.392
3, 34, 23, 1, 1, 0.562
3, 35, 30, 1, 1, 0.647
3, 36, 42, 1, 0, 0.621
3, 37, 51, 0, 0, 0.000
3, 38, 19, 1, 1, 0.557
3, 39, 48, 1, 0, 0.454
2, 0, 30, 1, 1, 0.634
2, 1, 27, 1, 1, 0.769
2, 2, 52, 0, 0, 0.000
2, 3, 18, 1, 1, 0.603
2, 4, 17, 1, 1, 0.934
2, 5, 40, 0, 0, 0.000
2, 6, 32, 1, 1, 0.647
2, 7, 45, 1, 0, 0.906
2, 8, 51, 0, 0, 0.000
2, 9, 19, 0, 0, 0.000
2, 10, 20, 0, 0, 0.000
2, 11, 21, 1, 1, 0.412
2, 12, 16, 1, 1, 1.011
2, 13, 25, 1, 1, 1.067
2, 14, 43, 1, 0, 0.595
2, 15, 24, 1, 1, 0.599
2, 16, 38, 1, 0, 0.658
2, 17, 37, 1, 0, 1.086
2, 18, 46, 0, 0, 0.000
2, 19, 44, 0, 0, 0.000
2, 20, 47, 1, 0, 1.246
2, 21, 48, 1, 0, 1.039
2, 22, 13, 1, 1, 0.704
2, 23, 33, 0, 0, 0.000
2, 24, 39, 1, 0, 0.687
2, 25, 35, 1, 0, 0.742
2, 26, 15, 0, 0, 0.000
2, 27, 23, 0, 0, 0.000
2, 28, 34, 1, 0, 0.445
2, 29, 50, 0, 0, 0.000
2, 30, 29, 1, 1, 0.430
2, 31, 36, 0, 0, 0.000
2, 32, 31, 1, 1, 0.681
2, 33, 28, 0, 0, 0.000
2, 34, 22, 1, 1, 0.570
2, 35, 41, 0, 0, 0.000
2, 36, 49, 0, 0, 0.000
2, 37, 14, 1, 1, 0.445
2, 38, 42, 0, 0, 0.000
2, 39, 26, 1, 1, 0.543
1, 0, 34, 1, 0, 0.519
1, 1, 32, 1, 1, 0.472
1, 2, 49, 0, 0, 0.000
1, 3, 21, 1, 1, 0.434
1, 4, 18, 1, 1, 0.466
1, 5, 15, 0, 0, 0.000
1, 6, 19, 1, 1, 0.532
1, 7, 25, 0, 0, 0.000
1, 8, 43, 1, 0, 0.490
1, 9, 39, 1, 0, 0.553
1, 10, 35, 1, 0, 0.494
1, 11, 37, 1, 0, 0.502
1, 12, 51, 1, 0, 0.544
1, 13, 26, 0, 0, 0.000
1, 14, 42, 1, 0, 0.912
1, 15, 47, 1, 0, 0.411
1, 16, 38, 1, 0, 0.429
1, 17, 30, 0, 0, 0.000
1, 18, 22, 1, 1, 0.497
1, 19, 45, 1, 0, 0.763
1, 20, 52, 1, 0, 0.474
1, 21, 24, 0, 0, 0.000
1, 22, 16, 1, 1, 0.469
1, 23, 33, 0, 0, 0.469
1, 24, 13, 1, 1, 0.497
1, 25, 29, 1, 1, 1.196
1, 26, 50, 0, 0, 0.000
1, 27, 31, 0, 0, 0.000
1, 28, 20, 1, 1, 0.399
1, 29, 23, 1, 1, 0.478
1, 30, 27, 1, 1, 0.477
1, 31, 17, 1, 1, 0.645
1, 32, 36, 0, 0, 0.000
1, 33, 14, 1, 1, 0.474
1, 34, 44, 1, 0, 0.948
1, 35, 41, 1, 0, 1.091
1, 36, 48, 0, 0, 0.000
1, 37, 46, 0, 0, 0.000
1, 38, 40, 1, 0, 0.631
1, 39, 28, 1, 1, 0.510
0, 0, 46, 1, 0, 0.480
0, 1, 40, 0, 0, 0.000
0, 2, 26, 0, 0, 0.000
0, 3, 23, 1, 1, 1.142
0, 4, 42, 1, 0, 0.487
0, 5, 36, 1, 0, 0.363
0, 6, 15, 1, 1, 0.456
0, 7, 47, 1, 0, 0.432
0, 8, 13, 1, 1, 0.455
0, 9, 44, 0, 0, 0.000
0, 10, 20, 0, 0, 0.000
0, 11, 38, 0, 0, 0.000
0, 12, 49, 1, 0, 0.527
0, 13, 19, 1, 1, 0.409
0, 14, 18, 1, 1, 0.407
0, 15, 25, 0, 0, 0.000
0, 16, 37, 0, 0, 0.000
0, 17, 32, 0, 0, 0.000
0, 18, 48, 1, 0, 0.445
0, 19, 50, 1, 0, 0.818
0, 20, 21, 0, 0, 0.000
0, 21, 34, 1, 0, 0.396
0, 22, 29, 0, 0, 0.000
0, 23, 41, 0, 0, 0.000
0, 24, 16, 0, 0, 0.000
0, 25, 22, 1, 1, 1.375
0, 26, 35, 1, 0, 0.331
0, 27, 33, 0, 0, 0.331
0, 28, 45, 0, 0, 0.000
0, 29, 52, 1, 0, 0.523
0, 30, 28, 1, 1, 0.285
0, 31, 24, 0, 0, 0.000
0, 32, 31, 0, 0, 0.000
0, 33, 17, 0, 0, 0.000
0, 34, 27, 0, 0, 0.000
0, 35, 51, 0, 0, 0.000
0, 36, 14, 0, 0, 0.000
0, 37, 39, 1, 0, 0.836
0, 38, 30, 1, 1, 0.444
0, 39, 43, 0, 0, 0.000
4, 0, 40, 0, 0, 0.000
4, 1, 18, 1, 1, 0.398
4, 2, 45, 0, 0, 0.000
4, 3, 30, 1, 1, 0.316
4, 4, 16, 1, 1, 0.541
4, 5, 32, 0, 0, 0.000
4, 6, 39, 0, 0, 0.000
4, 7, 52, 1, 0, 0.496
4, 8, 36, 1, 0, 0.326
4, 9, 29, 0, 0, 0.000
4, 10, 48, 1, 0, 0.537
4, 11, 33, 0, 0, 0.000
4, 12, 31, 0, 0, 0.000
4, 13, 22, 1, 1, 0.519
4, 14, 25, 0, 0, 0.000
4, 15, 26, 1, 1, 0.813
4, 16, 14, 1, 1, 0.307
4, 17, 24, 1, 1, 0.394
4, 18, 41, 0, 0, 0.000
4, 19, 34, 0, 0, 0.000
4, 20, 50, 0, 0, 0.000
4, 21, 46, 0, 0, 0.000
4, 22, 28, 1, 1, 0.307
4, 23, 23, 1, 1, 0.317
4, 24, 37, 0, 0, 0.000
4, 25, 13, 1, 1, 0.513
4, 26, 35, 0, 0, 0.000
4, 27, 27, 0, 0, 0.000
4, 28, 42, 0, 0, 0.000
4, 29, 49, 1, 0, 0.891
4, 30, 38, 0, 0, 0.000
4, 31, 19, 1, 1, 0.401
4, 32, 20, 0, 0, 0.000
4, 33, 17, 1, 1, 0.517
4, 34, 21, 1, 1, 0.627
