Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
5, 3, 0, 2, 31,1,1, 1.151
5, 3, 1, 1, 34,0,1, 0.000
5, 3, 2, 2, 46,0,1, 0.000
5, 3, 3, 1, 16,1,1, 0.552
5, 3, 4, 2, 30,1,1, 0.569
5, 3, 5, 1, 15,1,1, 0.472
5, 3, 6, 1, 37,1,0, 0.389
5, 3, 7, 1, 41,0,1, 0.000
5, 3, 8, 1, 36,1,0, 0.850
5, 3, 9, 2, 28,1,1, 0.518
5, 3, 10, 2, 48,1,0, 0.608
5, 3, 11, 1, 18,1,1, 0.570
5, 3, 12, 1, 13,1,1, 0.506
5, 3, 13, 2, 24,1,1, 0.507
5, 3, 14, 2, 45,1,0, 0.511
5, 3, 15, 2, 32,0,0, 0.000
5, 3, 16, 2, 50,0,1, 0.000
5, 3, 17, 2, 25,1,1, 0.419
5, 3, 18, 1, 22,1,1, 0.506
5, 3, 19, 1, 38,1,0, 1.162
5, 3, 20, 2, 43,1,0, 0.477
5, 3, 21, 1, 40,1,0, 0.369
5, 3, 22, 1, 19,1,1, 0.410
5, 3, 23, 1, 21,1,1, 0.570
5, 3, 24, 2, 29,1,1, 0.419
5, 3, 25, 2, 49,1,0, 0.512
5, 3, 26, 1, 14,0,0, 0.000
5, 3, 27, 1, 33,1,0, 0.504
5, 3, 28, 2, 52,1,0, 0.607
5, 3, 29, 2, 23,1,1, 0.443
5, 3, 30, 1, 35,0,1, 0.000
5, 3, 31, 1, 42,0,1, 0.000
5, 3, 32, 1, 17,1,1, 0.456
5, 3, 33, 1, 20,1,1, 0.589
5, 3, 34, 2, 27,1,1, 0.421
5, 3, 35, 2, 51,1,0, 0.387
5, 3, 36, 2, 26,0,0, 0.000
5, 3, 37, 2, 47,1,0, 0.425
5, 3, 38, 2, 44,1,0, 0.530
5, 3, 39, 1, 39,0,1, 0.000
0, 1, 0, 1, 35,0,1, 0.000
0, 1, 1, 1, 40,1,0, 0.452
0, 1, 2, 2, 25,0,0, 0.000
0, 1, 3, 2, 52,1,0, 0.474
0, 1, 4, 1, 14,0,0, 0.000
0, 1, 5, 1, 36,1,0, 0.432
0, 1, 6, 1, 39,1,0, 0.680
0, 1, 7, 2, 29,1,1, 0.494
0, 1, 8, 1, 16,1,1, 0.413
0, 1, 9, 2, 46,1,0, 0.367
0, 1, 10, 1, 19,1,1, 0.368
0, 1, 11, 1, 38,0,1, 0.000
0, 1, 12, 2, 27,1,1, 0.632
0, 1, 13, 1, 17,0,0, 0.000
0, 1, 14, 2, 49,1,0, 0.424
0, 1, 15, 2, 26,1,1, 0.430
0, 1, 16, 1, 37,0,1, 0.000
0, 1, 17, 2, 24,1,1, 0.519
0, 1, 18, 2, 47,1,0, 0.401
0, 1, 19, 1, 18,1,1, 0.421
0, 1, 20, 2, 32,1,1, 0.389
0, 1, 21, 2, 48,1,0, 0.370
0, 1, 22, 1, 41,1,0, 0.365
0, 1, 23, 1, 20,0,0, 0.000
0, 1, 24, 2, 23,1,1, 0.402
0, 1, 25, 2, 43,1,0, 0.355
0, 1, 26, 1, 13,1,1, 0.297
0, 1, 27, 1, 21,1,1, 0.366
0, 1, 28, 1, 42,0,1, 0.000
0, 1, 29, 2, 30,1,1, 0.457
0, 1, 30, 1, 33,1,0, 0.436
0, 1, 31, 2, 31,0,0, 0.000
0, 1, 32, 2, 44,0,1, 0.000
0, 1, 33, 2, 28,1,1, 0.523
0, 1, 34, 2, 45,0,1, 0.000
0, 1, 35, 1, 34,1,0, 0.540
0, 1, 36, 1, 22,1,1, 0.444
0, 1, 37, 2, 51,1,0, 0.743
0, 1, 38, 1, 15,1,1, 0.408
0, 1, 39, 2, 50,1,0, 0.471
4, 1, 0, 1, 36,0,1, 0.000
4, 1, 1, 2, 31,1,1, 0.365
4, 1, 2, 2, 44,0,1, 0.000
4, 1, 3, 2, 51,0,1, 0.000
4, 1, 4, 1, 40,1,0, 0.734
4, 1, 5, 2, 23,1,1, 0.567
4, 1, 6, 1, 17,1,1, 0.464
4, 1, 7, 1, 19,0,0, 0.000
4, 1, 8, 1, 35,1,0, 0.601
4, 1, 9, 1, 18,1,1, 0.701
4, 1, 10, 1, 41,1,0, 0.481
4, 1, 11, 1, 22,1,1, 0.611
4, 1, 12, 2, 32,1,1, 0.493
4, 1, 13, 2, 52,1,0, 0.454
4, 1, 14, 1, 37,1,0, 0.506
4, 1, 15, 2, 27,1,1, 0.422
4, 1, 16, 2, 28,1,1, 0.446
4, 1, 17, 2, 45,1,0, 0.479
4, 1, 18, 2, 30,0,0, 0.000
4, 1, 19, 2, 24,1,1, 0.566
4, 1, 20, 2, 29,1,1, 0.507
4, 1, 21, 1, 16,0,0, 0.000
4, 1, 22, 1, 13,0,0, 0.000
4, 1, 23, 2, 26,1,1, 0.447
4, 1, 24, 2, 43,0,1, 0.000
4, 1, 25, 1, 15,1,1, 0.511
4, 1, 26, 1, 20,0,0, 0.000
4, 1, 27, 1, 42,1,0, 1.293
4, 1, 28, 1, 38,1,0, 0.555
4, 1, 29, 2, 46,1,0, 0.428
4, 1, 30, 1, 34,0,1, 0.000
4, 1, 31, 2, 48,1,0, 0.560
4, 1, 32, 2, 25,0,0, 0.000
4, 1, 33, 2, 50,1,0, 0.496
4, 1, 34, 1, 21,1,1, 0.392
4, 1, 35, 1, 33,1,0, 0.541
4, 1, 36, 1, 14,1,1, 0.509
4, 1, 37, 2, 49,0,1, 0.000
4, 1, 38, 2, 47,0,1, 0.000
4, 1, 39, 1, 39,1,0, 0.528
3, 2, 0, 1, 38,1,0, 0.503
3, 2, 1, 1, 41,1,0, 0.672
3, 2, 2, 2, 48,1,0, 0.689
3, 2, 3, 1, 13,0,0, 0.000
3, 2, 4, 1, 14,1,1, 0.478
3, 2, 5, 2, 52,1,0, 0.617
3, 2, 6, 1, 21,0,0, 0.000
3, 2, 7, 2, 27,0,0, 0.000
3, 2, 8, 1, 37,0,1, 0.000
3, 2, 9, 2, 25,1,1, 0.462
3, 2, 10, 2, 23,1,1, 0.416
3, 2, 11, 2, 46,0,1, 0.000
3, 2, 12, 2, 31,1,1, 0.446
3, 2, 13, 2, 43,1,0, 0.528
3, 2, 14, 1, 20,0,0, 0.000
3, 2, 15, 2, 28,1,1, 0.879
3, 2, 16, 1, 42,0,1, 0.000
3, 2, 17, 2, 26,1,1, 0.485
3, 2, 18, 1, 35,1,0, 0.560
3, 2, 19, 1, 40,0,1, 0.000
3, 2, 20, 2, 44,0,1, 0.000
3, 2, 21, 2, 29,1,1, 0.716
3, 2, 22, 2, 30,1,1, 0.469
3, 2, 23, 1, 22,0,0, 0.000
3, 2, 24, 2, 45,0,1, 0.000
3, 2, 25, 1, 36,1,0, 0.501
3, 2, 26, 2, 51,1,0, 0.460
