Block,Trial,image_code,space_pressed,correct_incorrect,reaction_time
4, 0, 13, 0, 0, 0.000
4, 1, 26, 1, 1, 0.647
4, 2, 33, 0, 0, 0.000
4, 3, 15, 0, 0, 0.000
4, 4, 34, 0, 0, 0.000
4, 5, 41, 0, 0, 0.000
4, 6, 21, 1, 1, 0.396
4, 7, 46, 0, 0, 0.000
4, 8, 27, 1, 1, 0.526
4, 9, 30, 1, 1, 0.612
4, 10, 24, 1, 1, 0.609
4, 11, 31, 1, 1, 0.548
4, 12, 52, 0, 0, 0.000
4, 13, 47, 1, 0, 0.609
4, 14, 39, 0, 0, 0.000
4, 15, 29, 0, 0, 0.000
4, 16, 19, 1, 1, 0.692
4, 17, 18, 1, 1, 0.585
4, 18, 49, 0, 0, 0.000
4, 19, 35, 0, 0, 0.000
4, 20, 20, 0, 0, 0.000
4, 21, 16, 1, 1, 0.456
4, 22, 45, 0, 0, 0.000
4, 23, 51, 0, 0, 0.000
4, 24, 32, 0, 0, 0.000
4, 25, 37, 0, 0, 0.000
4, 26, 38, 0, 0, 0.000
4, 27, 44, 0, 0, 0.000
4, 28, 48, 1, 0, 0.706
4, 29, 43, 0, 0, 0.000
4, 30, 23, 1, 1, 0.498
4, 31, 40, 0, 0, 0.000
4, 32, 22, 0, 0, 0.000
4, 33, 36, 1, 0, 0.599
4, 34, 42, 1, 0, 0.810
4, 35, 28, 0, 0, 0.000
4, 36, 50, 0, 0, 0.000
4, 37, 25, 1, 1, 0.706
4, 38, 14, 1, 1, 0.618
4, 39, 17, 0, 0, 0.000
3, 0, 43, 1, 0, 0.929
3, 1, 23, 0, 0, 0.000
3, 2, 52, 0, 0, 0.000
3, 3, 47, 0, 0, 0.000
3, 4, 38, 0, 0, 0.000
3, 5, 50, 0, 0, 0.000
3, 6, 22, 0, 0, 0.000
3, 7, 35, 0, 0, 0.000
3, 8, 44, 0, 0, 0.000
3, 9, 19, 0, 0, 0.000
3, 10, 16, 0, 0, 0.000
3, 11, 30, 1, 1, 0.576
3, 12, 20, 0, 0, 0.000
3, 13, 34, 0, 0, 0.000
3, 14, 31, 0, 0, 0.000
3, 15, 36, 0, 0, 0.000
