Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
0, 1, 0, 2, 23,1,1, 0.453
0, 1, 1, 1, 34,1,0, 0.906
0, 1, 2, 1, 40,0,1, 0.000
0, 1, 3, 1, 35,1,0, 0.869
0, 1, 4, 1, 36,1,0, 0.531
0, 1, 5, 2, 31,1,1, 0.602
0, 1, 6, 1, 22,1,1, 0.673
0, 1, 7, 1, 14,1,1, 1.028
0, 1, 8, 2, 32,1,1, 0.583
0, 1, 9, 1, 38,1,0, 0.602
0, 1, 10, 2, 52,1,0, 0.547
0, 1, 11, 2, 43,1,0, 0.531
0, 1, 12, 0, 24,0,0, 0.000
0, 1, 13, 1, 18,1,1, 0.399
0, 1, 14, 2, 45,1,0, 1.043
0, 1, 15, 0, 16,0,0, 0.000
0, 1, 16, 2, 25,1,1, 0.411
0, 1, 17, 2, 26,1,1, 0.734
0, 1, 18, 1, 41,1,0, 0.441
0, 1, 19, 1, 37,0,1, 0.000
0, 1, 20, 0, 20,0,0, 0.000
0, 1, 21, 2, 27,1,1, 0.802
0, 1, 22, 1, 19,1,1, 0.741
0, 1, 23, 1, 17,1,1, 1.337
0, 1, 24, 1, 13,1,1, 0.714
0, 1, 25, 1, 42,0,1, 0.000
0, 1, 26, 2, 47,1,0, 0.563
0, 1, 27, 1, 15,1,1, 0.794
0, 1, 28, 2, 49,0,1, 0.000
0, 1, 29, 1, 33,0,1, 0.000
0, 1, 30, 1, 39,1,0, 0.769
0, 1, 31, 2, 51,0,1, 0.000
0, 1, 32, 1, 21,1,1, 0.596
0, 1, 33, 2, 50,1,0, 0.864
0, 1, 34, 2, 44,0,1, 0.000
0, 1, 35, 0, 29,0,0, 0.000
0, 1, 36, 2, 30,1,1, 1.005
0, 1, 37, 2, 48,0,1, 0.000
0, 1, 38, 2, 46,1,0, 0.882
0, 1, 39, 0, 28,0,0, 0.000
4, 2, 0, 1, 17,1,1, 0.503
4, 2, 1, 2, 47,0,1, 0.000
4, 2, 2, 1, 15,1,1, 0.456
4, 2, 3, 2, 31,1,1, 0.718
4, 2, 4, 0, 30,0,0, 0.000
4, 2, 5, 2, 28,1,1, 0.650
4, 2, 6, 1, 22,1,1, 0.467
4, 2, 7, 1, 38,1,0, 0.602
4, 2, 8, 1, 37,0,1, 0.000
