Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
3, 3, 0, 1, 18,0,0, 0.000
3, 3, 1, 2, 26,0,0, 0.000
3, 3, 2, 1, 39,0,1, 0.000
3, 3, 3, 2, 52,1,0, 0.938
3, 3, 4, 2, 28,0,0, 0.000
3, 3, 5, 1, 33,0,1, 0.000
3, 3, 6, 1, 41,0,1, 0.000
3, 3, 7, 1, 14,1,1, 0.720
3, 3, 8, 2, 47,0,1, 0.000
3, 3, 9, 2, 49,0,1, 0.000
3, 3, 10, 2, 23,1,1, 0.843
3, 3, 11, 1, 15,0,0, 0.000
3, 3, 12, 1, 35,0,1, 0.000
3, 3, 13, 1, 37,0,1, 0.000
3, 3, 14, 1, 40,0,1, 0.000
3, 3, 15, 2, 31,0,0, 0.000
3, 3, 16, 1, 17,1,1, 0.573
3, 3, 17, 2, 44,1,0, 0.859
3, 3, 18, 2, 45,0,1, 0.000
3, 3, 19, 2, 46,0,1, 0.000
3, 3, 20, 1, 16,0,0, 0.000
3, 3, 21, 1, 38,0,1, 0.000
3, 3, 22, 1, 19,0,0, 0.000
3, 3, 23, 2, 43,0,1, 0.000
3, 3, 24, 2, 50,1,0, 1.146
3, 3, 25, 2, 30,1,1, 0.739
3, 3, 26, 1, 36,0,1, 0.000
3, 3, 27, 1, 34,0,1, 0.000
3, 3, 28, 1, 20,0,0, 0.000
3, 3, 29, 2, 32,1,1, 0.964
3, 3, 30, 2, 51,0,1, 0.000
3, 3, 31, 2, 29,1,1, 0.582
3, 3, 32, 2, 27,1,1, 0.663
3, 3, 33, 1, 22,0,0, 0.000
3, 3, 34, 2, 24,0,0, 0.000
3, 3, 35, 1, 21,1,1, 0.713
3, 3, 36, 2, 25,1,1, 1.054
3, 3, 37, 1, 42,0,1, 0.000
3, 3, 38, 1, 13,0,0, 0.000
3, 3, 39, 2, 48,0,1, 0.000
0, 3, 0, 1, 42,0,1, 0.000
0, 3, 1, 1, 13,1,1, 1.190
0, 3, 2, 2, 31,1,1, 0.962
0, 3, 3, 1, 18,0,0, 0.000
0, 3, 4, 2, 48,0,1, 0.000
0, 3, 5, 2, 27,0,0, 0.000
0, 3, 6, 2, 50,0,1, 0.000
0, 3, 7, 1, 40,0,1, 0.000
0, 3, 8, 1, 37,0,1, 0.000
0, 3, 9, 2, 52,0,1, 0.000
0, 3, 10, 2, 46,0,1, 0.000
0, 3, 11, 2, 45,0,1, 0.000
0, 3, 12, 2, 51,0,1, 0.000
0, 3, 13, 2, 25,0,0, 0.000
0, 3, 14, 1, 22,1,1, 0.678
0, 3, 15, 1, 20,0,0, 0.000
0, 3, 16, 2, 30,1,1, 1.006
0, 3, 17, 2, 47,0,1, 0.000
0, 3, 18, 1, 36,0,1, 0.000
0, 3, 19, 2, 44,0,1, 0.000
0, 3, 20, 1, 34,0,1, 0.000
0, 3, 21, 2, 29,0,0, 0.000
0, 3, 22, 2, 23,0,0, 0.000
0, 3, 23, 1, 17,1,1, 0.693
0, 3, 24, 1, 15,0,0, 0.000
0, 3, 25, 1, 38,0,1, 0.000
0, 3, 26, 1, 19,1,1, 0.930
0, 3, 27, 2, 32,0,0, 0.000
0, 3, 28, 1, 41,0,1, 0.000
0, 3, 29, 1, 14,0,0, 0.000
0, 3, 30, 2, 28,0,0, 0.000
0, 3, 31, 2, 43,1,0, 1.136
0, 3, 32, 1, 21,0,0, 0.000
0, 3, 33, 1, 35,0,1, 0.000
0, 3, 34, 1, 39,0,1, 0.000
0, 3, 35, 2, 49,0,1, 0.000
0, 3, 36, 1, 33,1,0, 0.830
0, 3, 37, 2, 24,0,0, 0.000
0, 3, 38, 1, 16,0,0, 0.000
0, 3, 39, 2, 26,0,0, 0.000
4, 2, 0, 2, 43,0,1, 0.000
4, 2, 1, 1, 35,0,1, 0.000
4, 2, 2, 1, 17,0,0, 0.000
4, 2, 3, 2, 28,1,1, 1.066
4, 2, 4, 1, 13,0,0, 0.000
4, 2, 5, 1, 38,0,1, 0.000
4, 2, 6, 1, 22,1,1, 0.690
4, 2, 7, 2, 31,0,0, 0.000
4, 2, 8, 2, 24,1,1, 0.766
4, 2, 9, 1, 19,1,1, 0.897
4, 2, 10, 2, 52,0,1, 0.000
4, 2, 11, 1, 21,0,0, 0.000
4, 2, 12, 1, 36,0,1, 0.000
4, 2, 13, 1, 16,0,0, 0.000
4, 2, 14, 2, 30,0,0, 0.000
4, 2, 15, 2, 49,0,1, 0.000
4, 2, 16, 1, 15,0,0, 0.000
4, 2, 17, 1, 37,0,1, 0.000
4, 2, 18, 2, 27,0,0, 0.000
4, 2, 19, 2, 25,1,1, 0.632
4, 2, 20, 1, 18,0,0, 0.000
4, 2, 21, 2, 45,0,1, 0.000
4, 2, 22, 2, 50,0,1, 0.000
4, 2, 23, 2, 46,0,1, 0.000
4, 2, 24, 1, 41,0,1, 0.000
4, 2, 25, 2, 47,0,1, 0.000
4, 2, 26, 1, 20,0,0, 0.000
4, 2, 27, 1, 33,0,1, 0.000
4, 2, 28, 1, 34,0,1, 0.000
4, 2, 29, 1, 40,0,1, 0.000
4, 2, 30, 1, 39,0,1, 0.000
4, 2, 31, 2, 23,1,1, 1.119
4, 2, 32, 1, 14,0,0, 0.000
4, 2, 33, 2, 48,0,1, 0.000
4, 2, 34, 2, 29,0,0, 0.000
4, 2, 35, 2, 26,1,1, 1.230
4, 2, 36, 2, 51,1,0, 0.619
4, 2, 37, 1, 42,1,0, 0.956
4, 2, 38, 2, 32,0,0, 0.000
4, 2, 39, 2, 44,0,1, 0.000
1, 1, 0, 1, 14,1,1, 0.626
1, 1, 1, 2, 44,0,1, 0.000
1, 1, 2, 1, 38,0,1, 0.000
1, 1, 3, 1, 22,0,0, 0.000
1, 1, 4, 1, 40,0,1, 0.000
1, 1, 5, 2, 50,0,1, 0.000
1, 1, 6, 1, 36,0,1, 0.000
1, 1, 7, 2, 23,0,0, 0.000
1, 1, 8, 1, 37,0,1, 0.000
1, 1, 9, 2, 32,0,0, 0.000
1, 1, 10, 2, 30,0,0, 0.000
1, 1, 11, 2, 28,1,1, 0.801
