Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
2, 1, 0, 2, 25,1,1, 0.893
2, 1, 1, 1, 36,0,1, 0.000
2, 1, 2, 2, 48,0,1, 0.000
2, 1, 3, 1, 38,0,1, 0.000
2, 1, 4, 2, 52,0,1, 0.000
2, 1, 5, 1, 40,1,0, 0.929
2, 1, 6, 2, 26,0,0, 0.000
2, 1, 7, 2, 43,0,1, 0.000
2, 1, 8, 2, 32,1,1, 0.525
2, 1, 9, 1, 39,0,1, 0.000
2, 1, 10, 1, 16,1,1, 0.802
2, 1, 11, 2, 28,1,1, 0.707
2, 1, 12, 2, 50,0,1, 0.000
2, 1, 13, 1, 20,1,1, 0.505
2, 1, 14, 1, 34,1,0, 1.442
2, 1, 15, 1, 15,1,1, 0.352
2, 1, 16, 1, 17,1,1, 0.412
2, 1, 17, 2, 30,1,1, 0.343
2, 1, 18, 1, 37,1,0, 0.554
2, 1, 19, 1, 42,0,1, 0.000
2, 1, 20, 2, 45,1,0, 0.590
2, 1, 21, 2, 24,1,1, 0.546
2, 1, 22, 2, 49,1,0, 0.731
2, 1, 23, 1, 41,0,1, 0.000
2, 1, 24, 2, 44,1,0, 0.220
2, 1, 25, 2, 31,1,1, 0.895
2, 1, 26, 2, 46,1,0, 0.570
2, 1, 27, 1, 13,0,0, 0.000
2, 1, 28, 1, 14,1,1, 0.669
2, 1, 29, 1, 33,0,1, 0.000
2, 1, 30, 1, 18,1,1, 1.206
2, 1, 31, 2, 27,1,1, 0.475
2, 1, 32, 2, 51,0,1, 0.000
2, 1, 33, 2, 29,0,0, 0.000
2, 1, 34, 1, 35,1,0, 0.236
2, 1, 35, 1, 19,1,1, 0.542
2, 1, 36, 1, 22,1,1, 1.150
2, 1, 37, 2, 23,0,0, 0.000
2, 1, 38, 1, 21,1,1, 0.598
2, 1, 39, 2, 47,1,0, 0.725
1, 2, 0, 2, 27,0,0, 0.000
1, 2, 1, 1, 37,0,1, 0.000
1, 2, 2, 1, 18,1,1, 0.536
1, 2, 3, 1, 21,1,1, 0.728
1, 2, 4, 2, 44,1,0, 1.052
1, 2, 5, 1, 38,1,0, 0.542
1, 2, 6, 1, 15,1,1, 1.170
1, 2, 7, 2, 49,1,0, 1.025
1, 2, 8, 2, 45,0,1, 0.000
1, 2, 9, 2, 43,1,0, 0.235
1, 2, 10, 1, 14,1,1, 0.694
1, 2, 11, 1, 33,0,1, 0.000
1, 2, 12, 2, 25,0,0, 0.000
1, 2, 13, 2, 26,1,1, 0.632
1, 2, 14, 2, 46,0,1, 0.000
1, 2, 15, 1, 40,0,1, 0.000
1, 2, 16, 2, 48,1,0, 0.752
1, 2, 17, 1, 22,1,1, 0.504
1, 2, 18, 1, 20,1,1, 1.114
1, 2, 19, 2, 52,0,1, 0.000
1, 2, 20, 1, 42,0,1, 0.000
1, 2, 21, 1, 17,0,0, 0.000
1, 2, 22, 1, 39,0,1, 0.000
1, 2, 23, 1, 16,0,0, 0.000
1, 2, 24, 2, 29,1,1, 1.204
1, 2, 25, 2, 47,1,0, 0.845
1, 2, 26, 2, 28,1,1, 0.721
1, 2, 27, 1, 41,0,1, 0.000
1, 2, 28, 1, 34,0,1, 0.000
1, 2, 29, 2, 31,0,0, 0.000
1, 2, 30, 1, 19,1,1, 0.664
1, 2, 31, 2, 24,0,0, 0.000
1, 2, 32, 2, 30,1,1, 1.306
1, 2, 33, 1, 36,1,0, 0.744
1, 2, 34, 1, 35,0,1, 0.000
1, 2, 35, 2, 23,1,1, 0.704
1, 2, 36, 2, 32,0,0, 0.000
1, 2, 37, 1, 13,1,1, 0.794
1, 2, 38, 2, 50,0,1, 0.000
1, 2, 39, 2, 51,0,1, 0.000
0, 3, 0, 1, 13,1,1, 0.447
0, 3, 1, 2, 50,1,0, 0.797
0, 3, 2, 2, 27,1,1, 0.621
0, 3, 3, 2, 49,0,1, 0.000
0, 3, 4, 1, 33,1,0, 0.891
0, 3, 5, 2, 43,1,0, 1.147
0, 3, 6, 1, 42,0,1, 0.000
0, 3, 7, 1, 15,1,1, 0.948
0, 3, 8, 1, 40,0,1, 0.000
0, 3, 9, 1, 14,1,1, 1.089
0, 3, 10, 1, 34,1,0, 0.635
0, 3, 11, 2, 45,1,0, 0.672
0, 3, 12, 1, 22,1,1, 0.382
0, 3, 13, 2, 47,0,1, 0.000
0, 3, 14, 2, 23,1,1, 0.498
0, 3, 15, 2, 46,1,0, 0.443
0, 3, 16, 2, 51,0,1, 0.000
0, 3, 17, 1, 18,0,0, 0.000
0, 3, 18, 2, 29,1,1, 0.689
0, 3, 19, 2, 26,1,1, 0.375
0, 3, 20, 2, 24,1,1, 1.000
0, 3, 21, 2, 25,1,1, 0.501
0, 3, 22, 2, 32,1,1, 0.384
0, 3, 23, 1, 41,1,0, 0.396
0, 3, 24, 1, 36,1,0, 0.670
0, 3, 25, 2, 31,1,1, 1.154
0, 3, 26, 1, 17,1,1, 0.858
0, 3, 27, 1, 16,0,0, 0.000
0, 3, 28, 2, 44,0,1, 0.000
0, 3, 29, 1, 19,0,0, 0.000
0, 3, 30, 2, 48,0,1, 0.000
0, 3, 31, 1, 21,0,0, 0.000
0, 3, 32, 2, 52,1,0, 0.296
0, 3, 33, 1, 20,1,1, 1.261
0, 3, 34, 2, 28,1,1, 0.456
0, 3, 35, 1, 35,0,1, 0.000
0, 3, 36, 1, 39,1,0, 0.648
0, 3, 37, 1, 37,0,1, 0.000
0, 3, 38, 1, 38,0,1, 0.000
0, 3, 39, 2, 30,1,1, 0.329
4, 3, 0, 2, 31,0,0, 0.000
4, 3, 1, 2, 52,1,0, 0.588
4, 3, 2, 1, 40,1,0, 1.316
4, 3, 3, 2, 46,0,1, 0.000
4, 3, 4, 2, 48,0,1, 0.000
4, 3, 5, 1, 41,1,0, 1.105
4, 3, 6, 2, 25,0,0, 0.000
4, 3, 7, 2, 27,1,1, 0.707
4, 3, 8, 1, 34,0,1, 0.000
4, 3, 9, 2, 26,1,1, 0.696
4, 3, 10, 2, 43,0,1, 0.000
4, 3, 11, 1, 38,1,0, 0.355
4, 3, 12, 1, 16,0,0, 0.000
4, 3, 13, 1, 13,1,1, 0.727
4, 3, 14, 1, 36,1,0, 0.676
4, 3, 15, 2, 30,1,1, 0.109
4, 3, 16, 1, 42,1,0, 1.320
4, 3, 17, 1, 20,1,1, 0.519
4, 3, 18, 2, 32,1,1, 0.974
4, 3, 19, 2, 24,0,0, 0.000
4, 3, 20, 2, 29,0,0, 0.000
4, 3, 21, 2, 28,1,1, 0.689
4, 3, 22, 2, 49,0,1, 0.000
4, 3, 23, 1, 17,0,0, 0.000
4, 3, 24, 1, 22,1,1, 1.002
4, 3, 25, 2, 47,0,1, 0.000
4, 3, 26, 1, 33,1,0, 0.518
4, 3, 27, 1, 21,1,1, 0.516
4, 3, 28, 2, 44,1,0, 1.297
4, 3, 29, 1, 14,1,1, 0.447
4, 3, 30, 1, 15,1,1, 0.442
4, 3, 31, 1, 39,0,1, 0.000
4, 3, 32, 1, 19,0,0, 0.000
4, 3, 33, 1, 18,1,1, 0.678
4, 3, 34, 1, 35,0,1, 0.000
4, 3, 35, 2, 50,1,0, 0.436
4, 3, 36, 2, 23,1,1, 0.842
4, 3, 37, 2, 45,0,1, 0.000
4, 3, 38, 2, 51,0,1, 0.000
4, 3, 39, 1, 37,0,1, 0.000
5, 1, 0, 1, 14,1,1, 0.727
5, 1, 1, 1, 38,1,0, 1.133
