Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
4, 1, 0, 2, 25,1,1, 0.514
4, 1, 1, 1, 39,0,1, 0.000
4, 1, 2, 1, 19,1,1, 0.405
4, 1, 3, 1, 17,0,0, 0.000
4, 1, 4, 1, 36,0,1, 0.000
4, 1, 5, 1, 37,1,0, 1.067
4, 1, 6, 1, 41,0,1, 0.000
4, 1, 7, 2, 52,1,0, 0.531
4, 1, 8, 2, 49,0,1, 0.000
4, 1, 9, 1, 15,1,1, 0.646
4, 1, 10, 1, 33,0,1, 0.000
4, 1, 11, 2, 30,1,1, 0.633
4, 1, 12, 2, 48,0,1, 0.000
4, 1, 13, 1, 34,0,1, 0.000
4, 1, 14, 1, 21,1,1, 0.321
4, 1, 15, 1, 20,1,1, 0.544
4, 1, 16, 2, 32,1,1, 0.493
4, 1, 17, 2, 31,1,1, 0.396
4, 1, 18, 1, 38,1,0, 0.553
4, 1, 19, 1, 16,1,1, 0.266
4, 1, 20, 1, 40,0,1, 0.000
4, 1, 21, 2, 27,1,1, 0.274
4, 1, 22, 2, 28,1,1, 0.374
4, 1, 23, 1, 42,0,1, 0.000
4, 1, 24, 2, 23,0,0, 0.000
4, 1, 25, 1, 35,0,1, 0.000
4, 1, 26, 1, 18,1,1, 0.240
4, 1, 27, 2, 29,1,1, 0.296
4, 1, 28, 1, 22,0,0, 0.000
4, 1, 29, 1, 14,1,1, 0.596
4, 1, 30, 2, 45,0,1, 0.000
4, 1, 31, 2, 47,0,1, 0.000
4, 1, 32, 2, 43,1,0, 1.074
4, 1, 33, 2, 26,1,1, 0.332
4, 1, 34, 2, 46,0,1, 0.000
4, 1, 35, 1, 13,0,0, 0.000
4, 1, 36, 2, 50,1,0, 0.872
4, 1, 37, 2, 51,1,0, 0.587
4, 1, 38, 2, 24,1,1, 0.462
4, 1, 39, 2, 44,1,0, 1.339
3, 3, 0, 2, 28,1,1, 0.301
3, 3, 1, 1, 16,1,1, 0.433
3, 3, 2, 1, 21,0,0, 0.000
3, 3, 3, 1, 37,1,0, 0.655
3, 3, 4, 2, 26,1,1, 0.430
3, 3, 5, 1, 13,0,0, 0.000
3, 3, 6, 1, 39,0,1, 0.000
3, 3, 7, 1, 22,0,0, 0.000
3, 3, 8, 1, 38,1,0, 0.332
3, 3, 9, 1, 35,1,0, 0.609
3, 3, 10, 2, 25,1,1, 0.381
3, 3, 11, 2, 51,1,0, 0.774
3, 3, 12, 2, 43,0,1, 0.000
3, 3, 13, 1, 41,1,0, 0.614
3, 3, 14, 1, 15,1,1, 0.261
3, 3, 15, 1, 33,0,1, 0.000
3, 3, 16, 1, 18,0,0, 0.000
3, 3, 17, 1, 17,0,0, 0.000
3, 3, 18, 2, 45,1,0, 0.687
3, 3, 19, 2, 50,0,1, 0.000
3, 3, 20, 2, 44,1,0, 1.237
3, 3, 21, 1, 20,0,0, 0.000
3, 3, 22, 2, 23,1,1, 0.746
3, 3, 23, 1, 40,0,1, 0.000
3, 3, 24, 2, 49,0,1, 0.000
3, 3, 25, 1, 19,1,1, 0.415
3, 3, 26, 2, 29,1,1, 1.126
3, 3, 27, 2, 30,1,1, 0.311
3, 3, 28, 1, 36,1,0, 0.342
3, 3, 29, 2, 52,1,0, 0.752
3, 3, 30, 2, 27,0,0, 0.000
3, 3, 31, 1, 42,0,1, 0.000
3, 3, 32, 2, 32,0,0, 0.000
3, 3, 33, 2, 24,1,1, 0.270
3, 3, 34, 2, 46,0,1, 0.000
3, 3, 35, 2, 31,1,1, 0.278
3, 3, 36, 1, 34,0,1, 0.000
3, 3, 37, 1, 14,1,1, 0.365
3, 3, 38, 2, 48,1,0, 0.694
3, 3, 39, 2, 47,0,1, 0.000
5, 2, 0, 2, 45,1,0, 0.814
5, 2, 1, 1, 42,0,1, 0.000
5, 2, 2, 2, 26,0,0, 0.000
5, 2, 3, 1, 41,0,1, 0.000
5, 2, 4, 1, 21,0,0, 0.000
5, 2, 5, 2, 48,1,0, 0.716
5, 2, 6, 2, 24,0,0, 0.000
5, 2, 7, 2, 51,0,1, 0.000
5, 2, 8, 1, 20,1,1, 0.379
5, 2, 9, 1, 18,1,1, 0.270
5, 2, 10, 1, 22,1,1, 0.218
5, 2, 11, 1, 40,0,1, 0.000
