Block,Trial,Same,Condition,Response,TooSlow,ReactionTime
0, 0, 0, 9, 0, 0, 0.315
0, 1, 1, 4, 1, 0, 0.374
0, 2, 1, 3, 1, 0, 0.415
0, 3, 0, 7, 0, 0, 0.639
0, 4, 1, 2, 1, 0, 0.635
0, 5, 1, 8, 1, 0, 0.602
0, 6, 0, 5, 1, 0, 0.541
0, 7, 1, 6, 1, 0, 0.550
0, 8, 0, 4, 1, 0, 0.550
0, 9, 0, 8, 0, 0, 0.754
0, 10, 1, 6, 1, 0, 0.535
0, 11, 1, 7, 1, 0, 0.336
0, 12, 0, 9, 1, 0, 0.417
0, 13, 0, 3, 0, 0, 0.681
0, 14, 1, 5, 1, 0, 0.446
0, 15, 1, 2, 0, 1, 0.800
0, 16, 1, 5, 1, 0, 0.415
0, 17, 0, 4, 0, 0, 0.276
0, 18, 1, 7, 1, 0, 0.383
0, 19, 1, 2, 0, 0, 0.447
0, 20, 1, 9, 1, 0, 0.321
0, 21, 0, 6, 1, 0, 0.622
0, 22, 1, 8, 1, 0, 0.498
0, 23, 0, 3, 1, 0, 0.390
1, 0, 1, 7, 1, 0, 0.373
1, 1, 1, 4, 1, 0, 0.350
1, 2, 1, 8, 1, 0, 0.348
1, 3, 0, 3, 1, 0, 0.396
1, 4, 1, 5, 1, 0, 0.416
1, 5, 0, 9, 1, 0, 0.380
1, 6, 0, 2, 0, 0, 0.364
1, 7, 1, 6, 0, 0, 0.342
1, 8, 0, 8, 0, 0, 0.366
1, 9, 1, 5, 1, 0, 0.258
1, 10, 1, 3, 1, 0, 0.402
1, 11, 0, 6, 0, 0, 0.628
1, 12, 0, 4, 1, 0, 0.557
1, 13, 1, 9, 1, 0, 0.799
1, 14, 0, 7, 1, 0, 0.488
1, 15, 0, 2, 1, 0, 0.481
1, 16, 0, 6, 0, 0, 0.432
1, 17, 0, 8, 1, 0, 0.474
1, 18, 0, 5, 0, 0, 0.711
1, 19, 0, 7, 0, 0, 0.534
1, 20, 0, 9, 1, 0, 0.519
1, 21, 1, 4, 1, 0, 0.441
1, 22, 1, 2, 1, 0, 0.681
1, 23, 0, 3, 0, 0, 0.415
2, 0, 0, 9, 1, 0, 0.320
2, 1, 1, 4, 1, 0, 0.529
2, 2, 1, 3, 1, 0, 0.470
2, 3, 0, 2, 1, 0, 0.358
2, 4, 1, 8, 1, 0, 0.350
2, 5, 1, 5, 1, 0, 0.494
2, 6, 1, 6, 0, 0, 0.500
2, 7, 0, 7, 1, 0, 0.488
2, 8, 1, 3, 1, 0, 0.673
2, 9, 1, 6, 1, 0, 0.414
2, 10, 0, 9, 0, 0, 0.431
2, 11, 0, 8, 0, 1, 0.800
2, 12, 0, 4, 1, 0, 0.449
2, 13, 1, 2, 1, 0, 0.578
2, 14, 0, 5, 0, 0, 0.458
2, 15, 1, 7, 1, 0, 0.540
2, 16, 1, 2, 0, 0, 0.419
2, 17, 0, 7, 1, 0, 0.711
2, 18, 1, 8, 0, 0, 0.555
2, 19, 1, 5, 1, 0, 0.366
2, 20, 0, 9, 1, 0, 0.382
2, 21, 1, 6, 1, 0, 0.437
2, 22, 1, 3, 1, 0, 0.558
2, 23, 1, 4, 1, 0, 0.453
3, 0, 0, 7, 0, 0, 0.351
3, 1, 0, 8, 0, 0, 0.335
3, 2, 1, 9, 0, 0, 0.453
3, 3, 0, 3, 1, 0, 0.561
3, 4, 1, 4, 0, 0, 0.431
3, 5, 1, 2, 1, 0, 0.478
3, 6, 1, 6, 1, 0, 0.505
3, 7, 1, 5, 1, 0, 0.446
3, 8, 0, 7, 0, 0, 0.493
3, 9, 1, 9, 1, 0, 0.471
3, 10, 1, 5, 1, 0, 0.541
3, 11, 1, 2, 1, 0, 0.507
3, 12, 1, 6, 0, 0, 0.574
3, 13, 0, 4, 0, 0, 0.360
3, 14, 0, 8, 1, 0, 0.455
3, 15, 0, 3, 1, 0, 0.463
3, 16, 1, 3, 1, 0, 0.495
3, 17, 1, 8, 1, 0, 0.516
3, 18, 1, 5, 0, 0, 0.429
3, 19, 0, 4, 0, 0, 0.308
3, 20, 0, 6, 1, 0, 0.352
3, 21, 0, 2, 0, 0, 0.460
3, 22, 1, 7, 1, 0, 0.527
3, 23, 0, 9, 1, 0, 0.382
