Block,Trial,Same,Condition,Response,TooSlow,ReactionTime
0, 0, 0, 2, 1, 0, 0.381
0, 1, 0, 1, 0, 0, 0.532
0, 2, 0, 4, 1, 0, 0.629
0, 3, 1, 3, 1, 0, 0.352
0, 4, 1, 2, 1, 0, 0.523
0, 5, 0, 1, 1, 0, 0.449
0, 6, 0, 3, 1, 0, 0.437
0, 7, 1, 4, 1, 0, 0.650
0, 8, 1, 3, 0, 0, 0.557
0, 9, 1, 1, 0, 0, 0.501
0, 10, 0, 2, 1, 0, 0.495
0, 11, 0, 4, 1, 0, 0.430
0, 12, 1, 4, 0, 0, 0.441
0, 13, 1, 2, 0, 0, 0.370
0, 14, 0, 3, 0, 0, 0.500
0, 15, 1, 1, 0, 0, 0.526
0, 16, 0, 1, 1, 0, 0.456
0, 17, 1, 2, 1, 0, 0.410
0, 18, 1, 4, 1, 0, 0.476
0, 19, 0, 3, 0, 0, 0.687
0, 20, 0, 4, 0, 0, 0.783
0, 21, 1, 1, 1, 0, 0.520
0, 22, 1, 3, 1, 0, 0.423
0, 23, 1, 2, 0, 0, 0.485
1, 0, 0, 1, 0, 0, 0.407
1, 1, 1, 3, 0, 0, 0.479
1, 2, 0, 4, 1, 0, 0.460
1, 3, 0, 2, 0, 0, 0.473
1, 4, 1, 2, 1, 0, 0.519
1, 5, 0, 4, 1, 0, 0.547
1, 6, 0, 1, 0, 0, 0.472
1, 7, 0, 3, 1, 0, 0.471
1, 8, 1, 1, 0, 0, 0.639
1, 9, 0, 4, 0, 0, 0.323
1, 10, 0, 2, 1, 0, 0.515
1, 11, 1, 3, 1, 0, 0.574
1, 12, 0, 4, 1, 0, 0.415
1, 13, 1, 1, 1, 0, 0.524
1, 14, 0, 2, 1, 0, 0.436
1, 15, 1, 3, 0, 0, 0.372
1, 16, 0, 2, 0, 0, 0.503
1, 17, 1, 3, 0, 0, 0.399
1, 18, 1, 4, 1, 0, 0.408
1, 19, 0, 1, 1, 0, 0.558
1, 20, 1, 1, 1, 0, 0.405
1, 21, 1, 2, 0, 0, 0.507
1, 22, 0, 4, 0, 0, 0.407
1, 23, 0, 3, 1, 0, 0.469
2, 0, 0, 2, 1, 0, 0.359
2, 1, 0, 4, 1, 0, 0.323
2, 2, 1, 3, 1, 0, 0.460
2, 3, 0, 1, 1, 0, 0.511
2, 4, 0, 3, 1, 0, 0.464
2, 5, 0, 1, 1, 0, 0.519
2, 6, 1, 2, 0, 0, 0.345
2, 7, 0, 4, 1, 0, 0.371
2, 8, 0, 2, 0, 0, 0.369
2, 9, 1, 3, 1, 0, 0.481
2, 10, 1, 4, 0, 0, 0.514
2, 11, 0, 1, 1, 0, 0.350
2, 12, 1, 2, 0, 0, 0.672
2, 13, 0, 1, 1, 0, 0.296
2, 14, 1, 3, 1, 0, 0.694
2, 15, 1, 4, 1, 0, 0.456
2, 16, 1, 2, 1, 0, 0.600
2, 17, 0, 1, 1, 0, 0.454
2, 18, 0, 3, 0, 0, 0.531
2, 19, 0, 4, 1, 0, 0.356
2, 20, 1, 2, 1, 0, 0.412
2, 21, 0, 1, 0, 0, 0.303
2, 22, 0, 4, 1, 0, 0.403
2, 23, 0, 3, 0, 0, 0.451
3, 0, 1, 2, 1, 0, 0.421
3, 1, 1, 1, 1, 0, 0.345
3, 2, 0, 4, 1, 0, 0.477
3, 3, 1, 3, 1, 0, 0.548
3, 4, 1, 4, 1, 0, 0.385
3, 5, 1, 3, 1, 0, 0.436
3, 6, 0, 1, 0, 0, 0.401
3, 7, 1, 2, 0, 0, 0.370
3, 8, 1, 3, 1, 0, 0.417
3, 9, 1, 2, 1, 0, 0.422
3, 10, 0, 1, 0, 0, 0.438
3, 11, 1, 4, 0, 1, 0.800
3, 12, 0, 4, 0, 0, 0.476
3, 13, 0, 1, 0, 0, 0.456
3, 14, 0, 2, 1, 0, 0.374
3, 15, 0, 3, 0, 0, 0.543
3, 16, 0, 4, 0, 0, 0.741
3, 17, 1, 3, 1, 0, 0.358
3, 18, 0, 2, 0, 0, 0.446
3, 19, 0, 1, 1, 0, 0.438
3, 20, 1, 1, 1, 0, 0.607
3, 21, 1, 2, 0, 0, 0.445
3, 22, 1, 3, 1, 0, 0.373
3, 23, 0, 4, 0, 0, 0.551
4, 0, 0, 3, 0, 0, 0.362
4, 1, 1, 2, 0, 0, 0.484
4, 2, 0, 1, 1, 0, 0.441
4, 3, 1, 4, 1, 0, 0.474
4, 4, 1, 3, 1, 0, 0.420
4, 5, 0, 1, 0, 0, 0.617
4, 6, 0, 4, 1, 0, 0.531
4, 7, 1, 2, 1, 0, 0.638
4, 8, 1, 4, 1, 0, 0.552
4, 9, 0, 2, 1, 0, 0.417
4, 10, 1, 1, 1, 0, 0.526
4, 11, 1, 3, 0, 0, 0.641
4, 12, 0, 3, 1, 0, 0.474
4, 13, 0, 2, 0, 0, 0.470
4, 14, 0, 1, 1, 0, 0.683
4, 15, 0, 4, 0, 0, 0.479
4, 16, 0, 1, 1, 0, 0.484
4, 17, 1, 4, 1, 0, 0.523
4, 18, 0, 3, 1, 0, 0.367
4, 19, 1, 2, 0, 0, 0.380
4, 20, 0, 2, 0, 0, 0.511
4, 21, 1, 1, 1, 0, 0.407
4, 22, 0, 3, 1, 0, 0.429
4, 23, 1, 4, 1, 0, 0.536
5, 0, 0, 3, 1, 0, 0.501
5, 1, 1, 4, 1, 0, 0.463
5, 2, 1, 2, 1, 0, 0.405
5, 3, 1, 1, 1, 0, 0.375
5, 4, 0, 1, 1, 0, 0.527
5, 5, 1, 2, 1, 0, 0.470
5, 6, 1, 4, 1, 0, 0.455
5, 7, 0, 3, 0, 0, 0.528
5, 8, 1, 3, 1, 0, 0.541
5, 9, 0, 4, 1, 0, 0.591
5, 10, 1, 2, 1, 0, 0.454
5, 11, 0, 1, 1, 0, 0.404
5, 12, 1, 4, 1, 0, 0.405
5, 13, 1, 2, 0, 0, 0.572
5, 14, 1, 1, 1, 0, 0.535
5, 15, 1, 3, 1, 0, 0.364
5, 16, 0, 2, 0, 0, 0.459
5, 17, 0, 3, 1, 0, 0.509
5, 18, 1, 4, 1, 0, 0.554
5, 19, 1, 1, 1, 0, 0.440
5, 20, 0, 3, 0, 0, 0.354
5, 21, 0, 4, 0, 0, 0.647
5, 22, 0, 1, 1, 0, 0.438
5, 23, 1, 2, 1, 0, 0.669
6, 0, 0, 3, 1, 0, 0.349
6, 1, 0, 2, 1, 0, 0.491
6, 2, 0, 4, 1, 0, 0.356
6, 3, 1, 1, 0, 0, 0.755
6, 4, 0, 4, 0, 0, 0.626
6, 5, 0, 2, 0, 0, 0.547
6, 6, 1, 3, 0, 0, 0.581
6, 7, 0, 1, 0, 0, 0.513
6, 8, 0, 4, 1, 0, 0.561
6, 9, 0, 2, 0, 0, 0.405
6, 10, 1, 3, 0, 0, 0.548
6, 11, 1, 1, 1, 0, 0.452
6, 12, 0, 2, 1, 0, 0.420
6, 13, 1, 3, 0, 0, 0.458
6, 14, 1, 1, 0, 0, 0.327
6, 15, 1, 4, 0, 0, 0.615
6, 16, 1, 3, 0, 0, 0.380
6, 17, 0, 2, 1, 0, 0.438
6, 18, 1, 1, 0, 1, 0.800
6, 19, 1, 4, 1, 0, 0.377
6, 20, 0, 3, 0, 0, 0.505
6, 21, 0, 4, 1, 0, 0.475
6, 22, 0, 1, 1, 0, 0.377
6, 23, 1, 2, 1, 0, 0.352
7, 0, 1, 4, 0, 1, 0.800
7, 1, 0, 3, 0, 0, 0.364
7, 2, 0, 2, 0, 1, 0.800
7, 3, 1, 1, 0, 1, 0.800
7, 4, 1, 3, 0, 1, 0.800
7, 5, 0, 4, 0, 1, 0.800
7, 6, 1, 1, 0, 1, 0.800
7, 7, 0, 2, 0, 0, 0.490
7, 8, 0, 1, 0, 0, 0.595
7, 9, 1, 3, 1, 0, 0.659
7, 10, 1, 2, 1, 0, 0.481
7, 11, 0, 4, 0, 0, 0.531
7, 12, 0, 1, 1, 0, 0.529
7, 13, 1, 2, 1, 0, 0.323
7, 14, 0, 4, 1, 0, 0.422
7, 15, 0, 3, 0, 0, 0.442
7, 16, 0, 2, 1, 0, 0.360
7, 17, 0, 4, 0, 0, 0.476
7, 18, 1, 3, 0, 0, 0.569
7, 19, 1, 1, 0, 0, 0.400
7, 20, 1, 1, 0, 0, 0.528
7, 21, 0, 3, 0, 0, 0.355
7, 22, 1, 2, 0, 0, 0.532
7, 23, 1, 4, 0, 0, 0.424
8, 0, 1, 3, 1, 0, 0.350
8, 1, 1, 4, 1, 0, 0.392
8, 2, 0, 2, 0, 0, 0.491
8, 3, 1, 1, 1, 0, 0.566
8, 4, 1, 4, 1, 0, 0.316
8, 5, 0, 2, 1, 0, 0.399
8, 6, 1, 1, 1, 0, 0.522
8, 7, 0, 3, 1, 0, 0.495
8, 8, 0, 3, 1, 0, 0.551
8, 9, 1, 4, 1, 0, 0.429
8, 10, 0, 2, 1, 0, 0.435
8, 11, 0, 1, 1, 0, 0.381
8, 12, 0, 4, 1, 0, 0.470
8, 13, 1, 3, 0, 0, 0.522
8, 14, 1, 2, 0, 0, 0.412
8, 15, 1, 1, 0, 0, 0.423
8, 16, 1, 3, 0, 0, 0.480
8, 17, 1, 1, 0, 0, 0.441
8, 18, 1, 2, 0, 0, 0.514
8, 19, 1, 4, 1, 0, 0.500
8, 20, 0, 3, 1, 0, 0.395
8, 21, 0, 1, 1, 0, 0.447
8, 22, 1, 2, 0, 1, 0.800
8, 23, 1, 4, 0, 0, 0.356
9, 0, 1, 4, 1, 0, 0.362
9, 1, 1, 3, 0, 0, 0.417
9, 2, 0, 2, 0, 1, 0.800
9, 3, 1, 1, 0, 0, 0.367
9, 4, 0, 1, 0, 0, 0.544
9, 5, 1, 3, 1, 0, 0.488
9, 6, 0, 2, 1, 0, 0.389
9, 7, 1, 4, 0, 1, 0.800
9, 8, 0, 1, 0, 0, 0.426
9, 9, 1, 2, 1, 0, 0.440
9, 10, 0, 4, 0, 0, 0.504
9, 11, 1, 3, 1, 0, 0.488
9, 12, 1, 1, 1, 0, 0.667
9, 13, 0, 2, 0, 0, 0.460
9, 14, 0, 4, 1, 0, 0.423
9, 15, 0, 3, 1, 0, 0.403
9, 16, 1, 2, 0, 0, 0.379
9, 17, 0, 3, 1, 0, 0.387
9, 18, 0, 1, 0, 1, 0.800
9, 19, 0, 4, 1, 0, 0.446
9, 20, 1, 1, 0, 0, 0.431
9, 21, 1, 2, 1, 0, 0.469
9, 22, 0, 4, 0, 0, 0.568
9, 23, 0, 3, 0, 1, 0.800
10, 0, 0, 2, 0, 0, 0.418
10, 1, 1, 3, 1, 0, 0.326
10, 2, 0, 1, 1, 0, 0.370
10, 3, 1, 4, 1, 0, 0.579
10, 4, 0, 1, 0, 0, 0.446
10, 5, 1, 3, 1, 0, 0.665
